timestamp,price,prediction_score,reason,rolling_mean,rolling_std,price_change,z_score,pct_change,high_low_spread
2026-05-22 17:53:06,76764.78,-0.0001,z_score,76777.7482,10.5482,4.78,-1.2294,0.0062,38.31
2026-05-22 17:53:07,76765.08,-0.0001,z_score,76777.8328,10.423,0.55,-1.2235,0.0007,33.78
2026-05-22 18:48:24,76950.81,-0.0013,z_score,76943.7815,2.2303,1.0,3.1514,0.0013,10.81
2026-05-22 19:16:00,76985.26,-0.0028,pct_change,76972.4312,8.1758,18.63,1.5691,0.0242,22.49
2026-05-22 19:16:01,76985.27,-0.0041,pct_change,76972.7418,8.3047,18.63,1.5086,0.0242,22.49
2026-05-22 19:16:02,76997.8,-0.0272,high_low_spread,76973.2612,8.8716,31.16,2.766,0.0405,35.02
2026-05-22 19:16:04,76997.8,-0.0272,high_low_spread,76973.7805,9.3752,31.16,2.562,0.0405,35.02
2026-05-22 19:16:05,76997.8,-0.0232,high_low_spread,76974.2998,9.8252,31.16,2.3918,0.0405,35.02
2026-05-22 19:16:06,76997.81,-0.0142,high_low_spread,76974.8193,10.2291,31.18,2.2476,0.0405,35.03
2026-05-22 19:16:12,77016.55,-0.0272,high_low_spread,76975.6513,11.5026,49.91,3.5556,0.0648,53.77
2026-05-22 19:16:13,77016.55,-0.0272,high_low_spread,76976.4832,12.5929,49.91,3.1817,0.0648,53.77
2026-05-22 19:16:15,77016.55,-0.0272,high_low_spread,76977.315,13.5441,49.92,2.8968,0.0649,53.77
2026-05-22 19:16:17,77016.54,-0.0272,rolling_mean,76978.1468,14.3834,52.96,2.6693,0.0688,53.77
2026-05-22 19:16:18,77016.55,-0.0272,rolling_mean,76979.0297,15.0828,52.98,2.4876,0.0688,53.77
2026-05-22 19:16:19,77016.55,-0.0188,rolling_mean,76979.9127,15.7005,53.77,2.3335,0.0699,53.77
2026-05-22 19:16:20,77016.55,-0.0083,rolling_mean,76980.8088,16.2316,53.76,2.2019,0.0699,53.77
2026-05-22 19:16:21,77016.55,-0.0057,rolling_mean,76981.7048,16.6972,53.76,2.0869,0.0699,53.77
2026-05-22 19:16:22,77016.55,-0.003,rolling_mean,76982.6008,17.1025,53.76,1.985,0.0699,53.77
2026-05-22 19:16:24,77016.54,-0.0004,rolling_mean,76983.4967,17.4514,53.76,1.8934,0.0699,53.77
2026-05-22 19:16:26,77016.54,-0.003,rolling_mean,76985.2885,17.9933,53.75,1.7368,0.0698,53.77
2026-05-22 19:16:27,77003.14,-0.0052,rolling_mean,76985.961,17.8919,40.36,0.9602,0.0524,53.77
2026-05-22 19:16:29,77003.13,-0.0052,rolling_mean,76986.6335,17.7637,40.34,0.9287,0.0524,53.77
2026-05-22 19:16:30,77003.14,-0.0039,rolling_mean,76987.306,17.6088,40.36,0.8992,0.0524,53.77
2026-05-22 19:16:31,77003.14,-0.0052,rolling_mean,76987.9787,17.426,40.36,0.87,0.0524,53.77
2026-05-22 19:16:33,77003.13,-0.0052,rolling_mean,76988.6512,17.2143,40.35,0.8411,0.0524,53.77
2026-05-22 19:16:34,77003.14,-0.0052,rolling_mean,76989.3238,16.9731,40.35,0.814,0.0524,53.76
2026-05-22 19:16:37,77003.14,-0.0052,rolling_mean,76989.9963,16.7012,36.51,0.787,0.0474,49.92
2026-05-22 19:16:39,77007.0,-0.0052,rolling_mean,76990.6692,16.5564,40.36,0.9864,0.0524,49.91
2026-05-22 19:16:40,77007.0,-0.0052,rolling_mean,76991.3418,16.3826,40.36,0.9558,0.0524,49.91
2026-05-22 19:16:41,77007.0,-0.0052,rolling_mean,76992.0145,16.1785,34.06,0.9263,0.0442,43.62
2026-05-22 19:16:42,77006.99,-0.0039,rolling_mean,76992.582,16.095,34.05,0.8952,0.0442,43.62
2026-05-22 19:16:43,77007.0,-0.0052,rolling_mean,76993.1497,15.9908,34.06,0.8661,0.0442,43.62
2026-05-22 19:16:47,77007.0,-0.0052,rolling_mean,76993.7173,15.8653,34.07,0.8372,0.0443,43.62
2026-05-22 19:16:49,76999.22,-0.0067,rolling_mean,76994.1555,15.6429,26.27,0.3238,0.0341,43.6
2026-05-22 19:16:51,76995.63,-0.0065,rolling_mean,76994.5335,15.3939,19.69,0.0712,0.0256,40.62
2026-05-22 19:16:52,76995.64,-0.0065,rolling_mean,76994.8618,15.1994,19.71,0.0512,0.0256,40.62
2026-05-22 19:16:54,76995.64,-0.0065,rolling_mean,76995.1903,14.9949,19.71,0.03,0.0256,40.62
2026-05-22 19:16:55,76995.64,-0.0065,rolling_mean,76995.5188,14.7802,19.71,0.0082,0.0256,40.62
2026-05-22 19:19:58,76844.81,-0.0286,z_score,76925.076,15.8213,-102.16,-5.0733,-0.1328,102.17
2026-05-22 19:19:59,76819.08,-0.0251,high_low_spread,76922.9445,20.6881,-127.9,-5.0205,-0.1662,127.9
2026-05-22 19:20:00,76841.52,-0.0266,high_low_spread,76921.1868,22.9659,-105.45,-3.4689,-0.137,127.89
2026-05-22 19:20:01,76844.69,-0.0229,high_low_spread,76919.4822,24.7466,-102.28,-3.0223,-0.1329,127.89
2026-05-22 19:40:20,77015.58,-0.0166,rolling_mean,76993.9693,15.5514,45.22,1.3896,0.0587,45.23
2026-05-22 19:40:22,77015.58,-0.0106,rolling_mean,76994.723,15.4834,45.22,1.3471,0.0587,45.23
2026-05-22 19:40:26,77011.1,-0.0007,rolling_mean,76996.9098,14.9663,40.75,0.9481,0.0529,45.24
2026-05-22 19:40:31,77006.26,-0.0027,rolling_mean,76998.107,14.1981,35.9,0.5742,0.0466,45.24
2026-05-22 19:40:33,77004.69,-0.0048,rolling_mean,76998.6792,13.7455,34.34,0.4373,0.0446,45.24
2026-05-22 19:40:34,77004.68,-0.004,rolling_mean,76999.2513,13.252,34.33,0.4096,0.0446,45.24
2026-05-22 19:40:35,77004.69,-0.0012,rolling_mean,76999.8237,12.7132,34.34,0.3828,0.0446,45.24
2026-05-22 19:41:15,77001.0,-0.005,rolling_mean,77008.5497,4.9323,-6.99,-1.5307,-0.0091,17.0
2026-05-22 19:41:17,77000.99,-0.006,rolling_mean,77008.433,5.0276,-7.01,-1.4804,-0.0091,17.01
2026-05-22 19:41:18,77001.0,-0.0071,rolling_mean,77008.3163,5.1182,-7.0,-1.4295,-0.0091,17.01
2026-05-22 19:41:19,77001.0,-0.0071,rolling_mean,77008.1997,5.2046,-7.0,-1.3833,-0.0091,17.01
2026-05-22 19:41:20,77001.0,-0.0065,rolling_mean,77008.083,5.287,-6.62,-1.3397,-0.0086,17.01
2026-05-22 19:41:25,77000.99,-0.0059,rolling_mean,77007.9657,5.3744,-6.06,-1.2979,-0.0079,17.01
2026-05-22 19:41:26,77001.0,-0.0035,rolling_mean,77007.8648,5.4481,-6.05,-1.26,-0.0079,17.01
2026-05-22 19:41:28,77001.0,-0.0035,rolling_mean,77007.764,5.519,-6.04,-1.2256,-0.0078,17.01
2026-05-22 19:41:29,77001.0,-0.0035,rolling_mean,77007.6633,5.5871,-6.05,-1.1926,-0.0079,17.01
2026-05-22 19:41:31,77001.0,-0.0021,rolling_mean,77007.5625,5.6525,-6.04,-1.161,-0.0078,17.01
2026-05-22 19:41:32,77000.99,-0.0021,rolling_mean,77007.4617,5.7156,-6.06,-1.1323,-0.0079,17.01
2026-05-22 19:41:33,77001.0,-0.0035,rolling_mean,77007.3608,5.7761,-5.48,-1.1012,-0.0071,17.01
2026-05-22 19:41:35,77001.0,-0.0035,rolling_mean,77007.2695,5.8333,-5.48,-1.0748,-0.0071,17.01
2026-05-22 19:41:36,77000.99,-0.0045,rolling_mean,77007.178,5.8887,-6.06,-1.0508,-0.0079,17.01
2026-05-22 19:41:37,77000.99,-0.0025,rolling_mean,77007.077,5.9426,-7.01,-1.0243,-0.0091,17.01
2026-05-22 19:41:52,77009.81,-0.0036,rolling_mean,77006.2903,6.1534,-5.77,0.572,-0.0075,17.01
2026-05-22 19:41:53,77011.2,-0.0018,rolling_mean,77006.2173,6.0667,-4.38,0.8213,-0.0057,17.01
2026-05-22 19:41:55,77011.2,-0.0018,rolling_mean,77006.1443,5.9779,-4.39,0.8457,-0.0057,17.01
2026-05-22 19:41:56,77011.2,-0.0049,rolling_mean,77006.0712,5.8865,-4.39,0.8713,-0.0057,17.01
2026-05-22 19:41:57,77010.05,-0.0012,rolling_mean,77005.9788,5.7771,-1.05,0.7047,-0.0014,17.01
2026-05-22 19:41:59,77005.19,-0.0003,rolling_mean,77005.8803,5.7385,-1.08,-0.1203,-0.0014,17.01
2026-05-22 19:42:04,76990.01,-0.0106,z_score,77005.4087,6.1673,-14.68,-2.4968,-0.0191,27.99
2026-05-22 19:42:07,76989.99,-0.0044,z_score,77005.1637,6.4803,-14.7,-2.3415,-0.0191,28.01
2026-05-22 19:42:08,76986.02,-0.0129,z_score,77004.8525,6.9357,-18.67,-2.7153,-0.0242,31.98
2026-05-22 19:42:09,76986.01,-0.01,z_score,77004.5412,7.35,-18.67,-2.5212,-0.0242,31.99
2026-05-22 19:42:11,76986.02,-0.0014,z_score,77004.2302,7.729,-18.67,-2.3561,-0.0242,31.99
2026-05-22 19:42:28,76978.31,-0.0173,price_change,77000.489,11.0156,-37.27,-2.0134,-0.0484,39.69
2026-05-22 19:42:29,76978.34,-0.0139,price_change,76999.8683,11.1985,-39.66,-1.9224,-0.0515,39.69
